,code,category,long_description,short_description
0,00000,,,Invalid Code
1,0001F,2.0,,Composite measures
2,0002F,2.0,,Composite measures
3,0003F,2.0,,Composite measures
4,0004F,2.0,,Composite measures
5,0005F,2.0,,Composite measures
6,0006F,2.0,,Composite measures
7,0007F,2.0,,Composite measures
8,0008F,2.0,,Composite measures
9,0009F,2.0,,Composite measures
10,00100,1.0,,Head
11,00101,1.0,,Head
12,00102,1.0,,Head
13,00103,1.0,,Head
14,00104,1.0,,Head
15,00105,1.0,,Head
16,00106,1.0,,Head
17,00107,1.0,,Head
18,00108,1.0,,Head
19,00109,1.0,,Head
20,0010F,2.0,,Composite measures
21,00110,1.0,,Head
22,00111,1.0,,Head
23,00112,1.0,,Head
24,00113,1.0,,Head
25,00114,1.0,,Head
26,00115,1.0,,Head
27,00116,1.0,,Head
28,00117,1.0,,Head
29,00118,1.0,,Head
30,00119,1.0,,Head
31,0011F,2.0,,Composite measures
32,00120,1.0,,Head
33,00121,1.0,,Head
34,00122,1.0,,Head
35,00123,1.0,,Head
36,00124,1.0,,Head
37,00125,1.0,,Head
38,00126,1.0,,Head
39,00127,1.0,,Head
40,00128,1.0,,Head
41,00129,1.0,,Head
42,0012F,2.0,,Composite measures
43,00130,1.0,,Head
44,00131,1.0,,Head
45,00132,1.0,,Head
46,00133,1.0,,Head
47,00134,1.0,,Head
48,00135,1.0,,Head
49,00136,1.0,,Head
50,00137,1.0,,Head
51,00138,1.0,,Head
52,00139,1.0,,Head
53,0013F,2.0,,Composite measures
54,00140,1.0,,Head
55,00141,1.0,,Head
56,00142,1.0,,Head
57,00143,1.0,,Head
58,00144,1.0,,Head
59,00145,1.0,,Head
60,00146,1.0,,Head
61,00147,1.0,,Head
62,00148,1.0,,Head
63,00149,1.0,,Head
64,0014F,2.0,,Composite measures
65,00150,1.0,,Head
66,00151,1.0,,Head
67,00152,1.0,,Head
68,00153,1.0,,Head
69,00154,1.0,,Head
70,00155,1.0,,Head
71,00156,1.0,,Head
72,00157,1.0,,Head
73,00158,1.0,,Head
74,00159,1.0,,Head
75,0015F,2.0,,Composite measures
76,00160,1.0,,Head
77,00161,1.0,,Head
78,00162,1.0,,Head
79,00163,1.0,,Head
80,00164,1.0,,Head
81,00165,1.0,,Head
82,00166,1.0,,Head
83,00167,1.0,,Head
84,00168,1.0,,Head
85,00169,1.0,,Head
86,0016T,3.0,,Various Services - Category III Codes
87,00170,1.0,,Head
88,00171,1.0,,Head
89,00172,1.0,,Head
90,00173,1.0,,Head
91,00174,1.0,,Head
92,00175,1.0,,Head
93,00176,1.0,,Head
94,00177,1.0,,Head
95,00178,1.0,,Head
96,00179,1.0,,Head
97,0017T,3.0,,Various Services - Category III Codes
98,00180,1.0,,Head
99,00181,1.0,,Head
100,00182,1.0,,Head
101,00183,1.0,,Head
102,00184,1.0,,Head
103,00185,1.0,,Head
104,00186,1.0,,Head
105,00187,1.0,,Head
106,00188,1.0,,Head
107,00189,1.0,,Head
108,0018T,3.0,,Various Services - Category III Codes
109,00190,1.0,,Head
110,00191,1.0,,Head
111,00192,1.0,,Head
112,00193,1.0,,Head
113,00194,1.0,,Head
114,00195,1.0,,Head
115,00196,1.0,,Head
116,00197,1.0,,Head
117,00198,1.0,,Head
118,00199,1.0,,Head
119,0019T,3.0,,Various Services - Category III Codes
